/!\ Runtimes Updater /!\,Runtimes Patcher,-,a0.0.1,All,Yes,exe,
Adobe Player Suite,Adobe Air,https://airsdk.harman.com/assets/downloads/AdobeAIR.exe,50.2.1.1,All,Yes,exe,-silent,20230813094552
Adobe Player Suite,Adobe Flash Player,https://cdn.cleanflash.org/CleanFlash_34.0.0.301_Installer.exe,34.0.0.301,All,Yes,exe,,20230908100831
Adobe Player Suite,Adobe Shockwave Player,https://cdn.discordapp.com/attachments/677691873157971968/1144408690825383976/sw_lic_full_installer.msi,12.3.5.305,All,No,msi,/quiet /norestart,20230914184758
Component Explorer Suite,OLEMFCv4,https://svn.reactos.org/packages/OLE2V.EXE,2.0,All,No,EXE,,20230914184855
DirectX End-User,DirectX,https://download.microsoft.com/download/8/4/A/84A35BF1-DAFE-4AE8-82AF-AD2AE20B6B14/directx_Jun2010_redist.exe,9.29.1974.1,All,Yes,exe,,20230914184929
Games For Windows Live,Games For Windows Live (Client),https://cdn.discordapp.com/attachments/677691873157971968/1148361985654796358/gfwlclient.msi,3.5.67.0,All,No,msi,/quiet /norestart,20230914185241
Games For Windows Live,Games For Windows Live (Redist),https://cdn.discordapp.com/attachments/677691873157971968/1148361985302482995/xliveredist.msi,3.5.95.0,All,No,msi,/quiet /norestart,20230914185316
Graphics Compute Suite,OOCP,https://cdn.discordapp.com/attachments/677691873157971968/1147554518503014530/OOCP.zip,1.2302.1.0,All,Yes,zip,,20230914185352
Graphics Compute Suite,Mesa3D,https://svn.reactos.org/packages/mesa3d_setup.exe,14.03.2017,All,No,exe,,20230914190212
Graphics Compute Suite,Vulkan,https://sdk.lunarg.com/sdk/download/latest/windows/vulkan-runtime.exe,1.3.261.1,All,Yes,exe,/S,20230914190322
Java JRE,Java JRE (x64),https://sdlc-esd.oracle.com/ESD6/JSCDL/jdk/8u381-b09/8c876547113c4e4aab3c868e9e0ec572/jre-8u381-windows-x64.exe?GroupName=JSC&FilePath=/ESD6/JSCDL/jdk/8u381-b09/8c876547113c4e4aab3c868e9e0ec572/jre-8u381-windows-x64.exe&BHost=javadl.sun.com&File=jre-8u381-windows-x64.exe&AuthParam=1694719431_a2db0be79457ac8b8f168409eca3e1a4&ext=.exe,8u381,All,Yes,exe,/s,20230914190351
Java JRE,Java JRE (x86),https://sdlc-esd.oracle.com/ESD6/JSCDL/jdk/8u381-b09/8c876547113c4e4aab3c868e9e0ec572/jre-8u381-windows-i586.exe?GroupName=JSC&FilePath=/ESD6/JSCDL/jdk/8u381-b09/8c876547113c4e4aab3c868e9e0ec572/jre-8u381-windows-i586.exe&BHost=javadl.sun.com&File=jre-8u381-windows-i586.exe&AuthParam=1694719584_810926d7efdee688da4e6b59b44ae5e7&ext=.exe,8u381,All,Yes,exe,/s,20230914190624
Microsoft .NET Framework,NET Framework (7.0.11),https://download.visualstudio.microsoft.com/download/pr/91644a20-1e21-43c9-8ae0-90e402c1a368/469c198fab110c6c3d822e03509e9aec/dotnet-hosting-7.0.11-win.exe,7.0.11,All,Yes,exe,/install /quiet /norestart,20230914190807
Microsoft .NET Framework,NET Framework (7.0.11 - arm64),https://download.visualstudio.microsoft.com/download/pr/94186fe9-7c8e-46d7-b9bc-69759f43e8b0/f9214eb5df67e0b98f0432cf61862de3/windowsdesktop-runtime-7.0.11-win-arm64.exe,7.0.11,ARM64,Yes,exe,/install /quiet /norestart,20230914191105
Microsoft .NET Framework,NET Framework (7.0.11 - x64),https://download.visualstudio.microsoft.com/download/pr/2ce1cbbe-71d1-44e7-8e80-d9ae336b9b17/a2706bca3474eef8ef95e10a12ecc2a4/windowsdesktop-runtime-7.0.11-win-x64.exe,7.0.11,x64,Yes,exe,/install /quiet /norestart,20230914191237
Microsoft .NET Framework,NET Framework (7.0.11 - x86),https://download.visualstudio.microsoft.com/download/pr/8390b217-55b7-497e-ba1b-b70f0a93cf29/39ab1928787ffc939d95e97c1f5a33e4/windowsdesktop-runtime-7.0.11-win-x86.exe,7.0.11,x86,Yes,exe,/install /quiet /norestart,20230914191412
Microsoft .NET Framework,NET Framework (6.0.22),https://download.visualstudio.microsoft.com/download/pr/6127ac20-be25-437d-ab6a-e90415f3d547/f572f0b58361ccff32a961ad4446bb24/dotnet-hosting-6.0.22-win.exe,6.0.22,All,Yes,exe,/install /quiet /norestart,20230914191556
Microsoft .NET Framework,NET Framework (6.0.22 - arm64),https://download.visualstudio.microsoft.com/download/pr/5c1ee666-7d88-4463-afd4-87f608035d97/f3e97d4cb56dd7060d69f83a3e7c36ad/windowsdesktop-runtime-6.0.22-win-arm64.exe,6.0.22,ARM64,Yes,exe,/install /quiet /norestart,20230914191737
Microsoft .NET Framework,NET Framework (6.0.22 - x64),https://download.visualstudio.microsoft.com/download/pr/66a7c4c6-8401-4799-864f-9afddf5a7733/4052f458f0266e25ab1b9c7959ca245f/windowsdesktop-runtime-6.0.22-win-x64.exe,6.0.22,x64,Yes,exe,/install /quiet /norestart,20230914183831
Microsoft .NET Framework,NET Framework (6.0.22 - x86),https://download.visualstudio.microsoft.com/download/pr/4842d8ed-dae1-462b-a1c6-f08fcf568aa1/2a4ede4188528a10d003ee797a211568/windowsdesktop-runtime-6.0.22-win-x86.exe,6.0.22,x86,Yes,exe,/install /quiet /norestart,20230914192401
Microsoft .NET Framework,NET Framework (5.0.17),https://download.visualstudio.microsoft.com/download/pr/05726c49-3a3d-4862-9ff8-0660d9dc3c52/71c295f9287faad89e2d3233a38b44fb/dotnet-hosting-5.0.17-win.exe,5.0.17,All,No,exe,/install /quiet /norestart,20230521174941
Microsoft .NET Framework,NET Framework (5.0.17 - arm64),https://download.visualstudio.microsoft.com/download/pr/be25784a-4231-4c53-ba6e-869166ef523f/9602c6c0d358d31dc710fd0573fc39e0/windowsdesktop-runtime-5.0.17-win-arm64.exe,5.0.17,ARM64,No,exe,/install /quiet /norestart,20230815192108
Microsoft .NET Framework,NET Framework (5.0.17 - x64),https://download.visualstudio.microsoft.com/download/pr/3aa4e942-42cd-4bf5-afe7-fc23bd9c69c5/64da54c8864e473c19a7d3de15790418/windowsdesktop-runtime-5.0.17-win-x64.exe,5.0.17,x64,No,exe,/install /quiet /norestart,20230506035031
Microsoft .NET Framework,NET Framework (5.0.17 - x86),https://download.visualstudio.microsoft.com/download/pr/b6fe5f2a-95f4-46f1-9824-f5994f10bc69/db5ec9b47ec877b5276f83a185fdb6a0/windowsdesktop-runtime-5.0.17-win-x86.exe,5.0.17,x86,No,exe,/install /quiet /norestart,20230815191328
Microsoft .NET Framework,NET Core (3.1.32),https://download.visualstudio.microsoft.com/download/pr/6744eb9d-dcd4-4386-9d87-b03b70fc58ce/818fadf3f3d919c17ba845b2195bfd9b/dotnet-hosting-3.1.32-win.exe,3.1.32,All,No,exe,/install /quiet /norestart,20230807080626
